"sActivityName" "iSubjectIndex" "tBodyAcc-mean()-X-AvgByActBySubject" "tBodyAcc-mean()-Y-AvgByActBySubject" "tBodyAcc-mean()-Z-AvgByActBySubject" "tBodyAcc-std()-X-AvgByActBySubject" "tBodyAcc-std()-Y-AvgByActBySubject" "tBodyAcc-std()-Z-AvgByActBySubject" "tGravityAcc-mean()-X-AvgByActBySubject" "tGravityAcc-mean()-Y-AvgByActBySubject" "tGravityAcc-mean()-Z-AvgByActBySubject" "tGravityAcc-std()-X-AvgByActBySubject" "tGravityAcc-std()-Y-AvgByActBySubject" "tGravityAcc-std()-Z-AvgByActBySubject" "tBodyAccJerk-mean()-X-AvgByActBySubject" "tBodyAccJerk-mean()-Y-AvgByActBySubject" "tBodyAccJerk-mean()-Z-AvgByActBySubject" "tBodyAccJerk-std()-X-AvgByActBySubject" "tBodyAccJerk-std()-Y-AvgByActBySubject" "tBodyAccJerk-std()-Z-AvgByActBySubject" "tBodyGyro-mean()-X-AvgByActBySubject" "tBodyGyro-mean()-Y-AvgByActBySubject" "tBodyGyro-mean()-Z-AvgByActBySubject" "tBodyGyro-std()-X-AvgByActBySubject" "tBodyGyro-std()-Y-AvgByActBySubject" "tBodyGyro-std()-Z-AvgByActBySubject" "tBodyGyroJerk-mean()-X-AvgByActBySubject" "tBodyGyroJerk-mean()-Y-AvgByActBySubject" "tBodyGyroJerk-mean()-Z-AvgByActBySubject" "tBodyGyroJerk-std()-X-AvgByActBySubject" "tBodyGyroJerk-std()-Y-AvgByActBySubject" "tBodyGyroJerk-std()-Z-AvgByActBySubject" "tBodyAccMag-mean()-AvgByActBySubject" "tBodyAccMag-std()-AvgByActBySubject" "tGravityAccMag-mean()-AvgByActBySubject" "tGravityAccMag-std()-AvgByActBySubject" "tBodyAccJerkMag-mean()-AvgByActBySubject" "tBodyAccJerkMag-std()-AvgByActBySubject" "tBodyGyroMag-mean()-AvgByActBySubject" "tBodyGyroMag-std()-AvgByActBySubject" "tBodyGyroJerkMag-mean()-AvgByActBySubject" "tBodyGyroJerkMag-std()-AvgByActBySubject" "fBodyAcc-mean()-X-AvgByActBySubject" "fBodyAcc-mean()-Y-AvgByActBySubject" "fBodyAcc-mean()-Z-AvgByActBySubject" "fBodyAcc-std()-X-AvgByActBySubject" "fBodyAcc-std()-Y-AvgByActBySubject" "fBodyAcc-std()-Z-AvgByActBySubject" "fBodyAccJerk-mean()-X-AvgByActBySubject" "fBodyAccJerk-mean()-Y-AvgByActBySubject" "fBodyAccJerk-mean()-Z-AvgByActBySubject" "fBodyAccJerk-std()-X-AvgByActBySubject" "fBodyAccJerk-std()-Y-AvgByActBySubject" "fBodyAccJerk-std()-Z-AvgByActBySubject" "fBodyGyro-mean()-X-AvgByActBySubject" "fBodyGyro-mean()-Y-AvgByActBySubject" "fBodyGyro-mean()-Z-AvgByActBySubject" "fBodyGyro-std()-X-AvgByActBySubject" "fBodyGyro-std()-Y-AvgByActBySubject" "fBodyGyro-std()-Z-AvgByActBySubject" "fBodyAccMag-mean()-AvgByActBySubject" "fBodyAccMag-std()-AvgByActBySubject" "fBodyBodyAccJerkMag-mean()-AvgByActBySubject" "fBodyBodyAccJerkMag-std()-AvgByActBySubject" "fBodyBodyGyroMag-mean()-AvgByActBySubject" "fBodyBodyGyroMag-std()-AvgByActBySubject" "fBodyBodyGyroJerkMag-mean()-AvgByActBySubject" "fBodyBodyGyroJerkMag-std()-AvgByActBySubject"
"LAYING" 1 1.98106483 3572.72 2608.28 3297.9 3965.64 4181.42 3721.74 3372.64 3451.1 4545.92 4614.18 5389.38 -5.82000552 4284.44 3233.18 3916.86 3607.18 3966.3 3939.8 4218.74 3935.6 3673.74 4085.1 3938.36 -0.518538148 5047.84 4081.1 4158.72 3377.52 4306.84 3948.02 3481.02 4058.1 3717.24 3321.18 3831.58 0.03519635202 -0.273053484 3895.22 3169.36 3694.6 3223.84 3477.04 3983.34 5174.28 0.9358409828 2936.82 4116.98 4865.72 4996.58 5187.94 5144.4 3016.04 3227.82 3789.22 4727.84 5070.52 5265.06 2655.9 2947.84 5361.44 5398.08 -9.938101448 4833.12 4978.5 0.9177961646
"SITTING" 1 2.55914614042553 3077.12765957447 2559.93617021277 3965.82978723404 3606.51063829787 4434.02127659574 3203.8085106383 3335.25531914894 3952.57446808511 4196 2095.42553191489 3497.65957446808 -5.45372624255319 3909.74468085106 2483.08510638298 2558.97872340426 3822.8085106383 4445.06382978723 3859.04255319149 3492.65957446808 4247.06382978723 4465.08510638298 3568.44680851064 3977.72340425532 -0.6790712 4942.72340425532 3595.63829787234 4591.93617021277 2301.63829787234 4291.27659574468 4245.44680851064 3780.65957446808 4599.76595744681 3655.97872340426 3267.02127659574 3945.10638297872 0.153241019 -1.42286560638298 3796.40425531915 3762.65957446808 3512.51063829787 3896.78723404255 2856.08510638298 4244.04255319149 6214.95744680851 0.988308728510638 3169.48936170213 3602.57446808511 4063.76595744681 5404.21276595745 5429.3829787234 5187.06382978723 3408.14893617021 2884.91489361702 3462.65957446808 4944.04255319149 5706.3829787234 5853.46808510638 3284.23404255319 3232.48936170213 5585.6170212766 5430.1914893617 -9.97361971276596 4993.68085106383 5637.04255319149 0.982628872553192
"STANDING" 1 2.78917629056604 2623.54716981132 2600.7358490566 4427.22641509434 3971.2641509434 4521.01886792453 3321.7358490566 3597.45283018868 3702.96226415094 3923.52830188679 3944.56603773585 2769.1320754717 -4.34727779433962 2995.39622641509 4669.64150943396 3734.20754716981 4477.8679245283 4795.50943396226 3506.75471698113 3555.52830188679 3415.39622641509 3557.03773584906 3063.79245283019 3060.52830188679 -0.771581566037736 5002.92452830189 3511.45283018868 4722.67924528302 2538.96226415094 4381.2641509434 3797.37735849057 3585.79245283019 4032.50943396226 3784.66037735849 2905.8679245283 4287.96226415094 0.240349537995094 -2.62689456415094 4049.28301886792 3570.64150943396 3450.41509433962 3609.01886792453 3562.7358490566 4030.05660377358 6019.66037735849 0.994733238679245 2527 3995.69811320755 4466.05660377359 5636.62264150943 5521.47169811321 5576.49056603774 3261.84905660377 3243.24528301887 3033.66037735849 4282.92452830189 5607.1320754717 5571.2641509434 2868.2641509434 3014.01886792453 5937.67924528302 5690.43396226415 -9.99491813962264 5651.79245283019 5632.8679245283 0.999156443584906
"WALKING" 1 2.77330758736842 4480.65263157895 4687 2383.68421052632 5604.58947368421 3093.02105263158 3626.52631578947 3620.48421052632 3939.88421052632 3490.92631578947 2966.88421052632 3004.31578947368 -2.82039113157895 2694.33684210526 4066.42105263158 3260.74736842105 3879.77894736842 2254.27368421053 3740.58947368421 3837.29473684211 3462.11578947368 3522.15789473684 3920.13684210526 3774.2 3.40965782526316 2076.93684210526 3652.75789473684 2981.75789473684 4881.31578947368 2550.30526315789 3741.75789473684 3395.91578947368 3854.29473684211 3845.41052631579 4322.98947368421 2054.52631578947 0.0885682061405263 0.866420572631579 3802.94736842105 3575.73684210526 4109.94736842105 3519.83157894737 3393.02105263158 3540.4 2415.77894736842 0.325324878894737 3059.85263157895 3118.2 2938.23157894737 2136.73684210526 1749.64210526316 1706.52631578947 3236.67368421053 3547.03157894737 3814.6 3484.73684210526 2224.70526315789 1796.46315789474 2707.76842105263 3299.10526315789 399.936842105263 650.368421052632 -9.41506463052632 1819.33684210526 2673.50526315789 0.689131219578947
"WALKING_DOWNSTAIRS" 1 2.89188320408163 4903.85714285714 4852.36734693878 4702.0612244898 5957.65306122449 3100.55102040816 3233.30612244898 3913.4693877551 4068.83673469388 3445.63265306122 4344.71428571429 3609.48979591837 -2.78196685102041 2498.44897959184 3477.24489795918 3182.36734693878 3587.28571428571 2403.28571428571 3068.40816326531 3919 3486.97959183673 3974.57142857143 3573.10204081633 3442.51020408163 2.5947403122449 3827.4693877551 3327.04081632653 2501.87755102041 3929.5306122449 1855.20408163265 4034.24489795918 4165.08163265306 3927.51020408163 4273.65306122449 3711.89795918367 4529.04081632653 0.13907453125102 -1.63569288163265 3426.69387755102 3816.10204081633 3037.38775510204 3404.95918367347 4215.51020408163 4107.85714285714 2122.16326530612 0.311513793734694 2564.18367346939 2897 3601.5306122449 2246.44897959184 1777.97959183673 1853.69387755102 3205.91836734694 3487.83673469388 2937.22448979592 3228.61224489796 1976.36734693878 1568.81632653061 2604.10204081633 3121.04081632653 407.428571428571 257.755102040816 -9.29145784285714 636.816326530612 2945.42857142857 0.469999098571429
"WALKING_UPSTAIRS" 1 2.55461689622642 4449.98113207547 4410.71698113208 3060.39622641509 3700.24528301887 5443.98113207547 3762.37735849057 3635.16981132075 4067.01886792453 3948.94339622642 4469.15094339623 3504.62264150943 -7.13323309433962 5341.75471698113 4406.75471698113 2344.64150943396 2628.2641509434 2657.77358490566 3500.56603773585 3595.71698113208 3629.41509433962 3248.05660377358 3738.45283018868 4198.62264150943 4.19752388113208 2083.8679245283 3364.15094339623 3557.35849056604 4251.20754716981 2427.07547169811 3657.41509433962 3309.88679245283 1130.60377358491 3201.62264150943 4490.84905660377 2791.92452830189 -0.137359747679245 1.61279097169811 3544.01886792453 3862.16981132075 3480.56603773585 3532.64150943396 3804.05660377358 3581.37735849057 2364.33962264151 0.648553044339623 2540.41509433962 3098.35849056604 3239.77358490566 1822.54716981132 1812.81132075472 1821.62264150943 2967.11320754717 3293 3765.52830188679 2477.92452830189 2049.09433962264 1655.09433962264 2480.83018867925 3111.77358490566 1346.98113207547 2102.16981132075 -9.79662087169811 2646.2641509434 2762.7358490566 0.765874384339623
"LAYING" 2 2.81373403958333 8285.20833333333 8259.04166666667 8871.89583333333 9332.20833333333 9494.89583333333 8732.95833333333 9021.04166666667 8822 9017.16666666667 8968.375 9592.64583333333 -3.56444332083333 8454.72916666667 9119.6875 8818.58333333333 8360.08333333333 9312.60416666667 8755.0625 8766.29166666667 8753.72916666667 8711.08333333333 8942 8832.70833333333 -0.45997479375 9450.5625 8936.54166666667 9383.125 8413.20833333333 9233.85416666667 8711.39583333333 8821.58333333333 9208.70833333333 8731.89583333333 8405.5625 9027.3125 0.188903979395833 -3.05342583958333 8788.35416666667 8903.52083333333 8854.1875 8823.3125 8632.39583333333 8876.85416666667 9724.70833333333 0.989718095208333 4092.75 7563.64583333333 9193.60416666667 9004.125 9232.70833333333 9379.41666666667 5273.72916666667 6470.875 6787.41666666667 8583.64583333333 9155.77083333333 9418.29166666667 3189.95833333333 3412.89583333333 7853.97916666667 8367.35416666667 -9.977355075 8972.91666666667 9635.54166666667 0.998122268125
"SITTING" 2 2.7708735173913 8423.91304347826 8665.95652173913 9304.19565217391 8971.95652173913 9122.04347826087 8824.17391304348 8886.52173913043 8883.02173913043 9057.17391304348 8585.54347826087 8987.97826086957 -5.41805998043478 8875.21739130435 8414.32608695652 8471.65217391304 9257.73913043478 9327.23913043478 8913.73913043478 8772.76086956522 8820.60869565217 8772.60869565217 8891.95652173913 8782.67391304348 1.34814651304348 9177.65217391304 8820.28260869565 9218.19565217391 8999.4347826087 9326.26086956522 8959.28260869565 8671.52173913043 8988.15217391304 9019.58695652174 8673.58695652174 9140.0652173913 0.165177400471739 -1.30190976956522 8837.82608695652 8970.91304347826 8931.91304347826 8774.45652173913 8914.73913043478 8829.97826086957 9608.04347826087 0.989594919565217 5039.60869565217 6993.80434782609 8706.86956521739 9157.30434782609 9278.21739130435 9237.60869565217 6388.41304347826 5946.47826086957 6248.19565217391 8317.58695652174 9207.95652173913 9105.78260869565 3782.71739130435 3858.80434782609 7834.39130434783 8194.63043478261 -9.97910250869565 9272.86956521739 9374.52173913043 0.992128441521739
"STANDING" 2 2.77911472222222 8658.61111111111 8679 9170.7037037037 8903.07407407407 9040.40740740741 8787.81481481482 8840.64814814815 8744.05555555555 9089.18518518518 8246.62962962963 9113.77777777778 -5.45537676111111 8871 9509.12962962963 9134.35185185185 9429.25925925926 9189.33333333333 9004.74074074074 8681.51851851852 8794.66666666667 9027.12962962963 8726.94444444445 8662.42592592593 1.5581418037037 8916.24074074074 8651.18518518518 9030.05555555555 8682.37037037037 9205.85185185185 8691.12962962963 8584.83333333333 8847.14814814815 8767.83333333333 8657.31481481482 8939.25925925926 0.18445040162963 -2.0369260037037 8775 8762.85185185185 8870.85185185185 8835.55555555555 8986.07407407407 8787.55555555555 9218.7962962963 0.977204427777778 5037.92592592593 8029.16666666667 8333.48148148148 8873.11111111111 9320.2037037037 9081.62962962963 6641.2037037037 6034.33333333333 6895.12962962963 8397.92592592593 9076.51851851852 9209.7962962963 3694.2962962963 5158.7962962963 7862 7967.7037037037 -9.99528345555555 9133.94444444445 9297.51851851852 0.996779435555556
"WALKING" 2 2.76426586440678 8925.27118644068 8930.27118644068 8541.57627118644 8209.38983050847 9093.03389830508 9005.30508474576 8777.35593220339 8868.30508474576 8863.54237288136 8811.8813559322 8874.83050847458 -4.35379871016949 8564.01694915254 8833.93220338983 8700.57627118644 8714.79661016949 8312.27118644068 8769.71186440678 8802.28813559322 8782.16949152542 8998.47457627119 9068.08474576271 8749.76271186441 3.42981108135593 8336.27118644068 8632.49152542373 8467.86440677966 9246.3220338983 8151.06779661017 8795.8813559322 8770.52542372881 8307.30508474576 8791.64406779661 9241.61016949153 8331.59322033898 -0.112274999164407 2.50460161016949 8761.49152542373 8930.5593220339 8701.16949152542 8771.66101694915 8881.89830508475 8673.93220338983 8125.45762711864 0.557798151355932 6697.96610169491 8041.15254237288 8422.69491525424 8190.72881355932 8070.81355932203 7922.61016949153 7469.79661016949 7594.86440677966 7923.64406779661 8655 8225.08474576271 7985.4406779661 6507.61016949153 7210.64406779661 7371.35593220339 7704.6779661017 -9.61640650508475 8331 8536 0.827531521186441
